ORCID,full_name,given_name,family_name,credit_name,status_code,error
0000-0001-8526-9698,Sanjay Nanwani,Sanjay,Nanwani,,200,
0000-0001-8528-0280,Daniel Larson,Daniel,Larson,,200,
0000-0001-8529-2708,Allison  Oh ,Allison ,Oh ,,200,
0000-0001-8530-721X,Kiryung Kim,Kiryung,Kim,,200,
0000-0001-8530-7228,Marinka Zitnik,Marinka,Zitnik,,200,
0000-0001-8534-1485,Bernard Tamas,Bernard,Tamas,,200,
0000-0001-8534-5515,Manoj Duraisingh,Manoj,Duraisingh,,200,
0000-0001-8540-9785,Kenichi Shimada,Kenichi,Shimada,,200,
0000-0001-8541-5886,Raúl Duarte,Raúl,Duarte,,200,
0000-0001-8541-7275,Liliia Khasanova,Liliia,Khasanova,,200,
0000-0001-8542-0415,Robert Kaufman,Robert,Kaufman,,200,
0000-0001-8546-7192,Johnathan Kepple,Johnathan,Kepple,,200,
0000-0001-8547-2290,Jungmin Lee,Jungmin,Lee,,200,
0000-0001-8547-5045,Ryan Chuang,Ryan,Chuang,,200,
0000-0001-8548-0477,Mohsen Zaeimbashi,Mohsen,Zaeimbashi,,200,
0000-0001-8555-1327,Jackson A. Killian,Jackson A.,Killian,,200,
0000-0001-8556-2675,Jeremy Bloxham,Jeremy,Bloxham,,200,
0000-0001-8557-8765,Amanda Elizabeth Garza,Amanda,Garza,Amanda Elizabeth Garza,200,
0000-0001-8557-9987,Roberto Benzo,Roberto,Benzo,,200,
0000-0001-8561-4340,Samantha Morris,Samantha,Morris,,200,
0000-0001-8567-2532,Mabel Seto,Mabel,Seto,,200,
0000-0001-8568-4410,Michele Morgan,Michele,Morgan,,200,
0000-0001-8570-9606,Keeley Hoek,Keeley,Hoek,,200,
0000-0001-8571-4667,Xiaofeng Huang,Xiaofeng,Huang,,200,
0000-0001-8573-9266,Rachel Wilson,Rachel,Wilson,,200,
0000-0001-8574-1534,Daniel Okoro,Daniel,Okoro,,200,
0000-0001-8576-7179,Samantha  Butler,Samantha ,Butler,,200,
0000-0001-8577-9137,Michele Berselli,Michele,Berselli,,200,
0000-0001-8586-6476,Jing Song,Jing,Song,,200,
0000-0001-8586-8391,Isaac F. Silvera,Isaac,Silvera,Isaac F. Silvera,200,
0000-0001-8587-6535,Longzhen Cheng,Longzhen,Cheng,,200,
0000-0001-8587-9728,Adrian Guzman,Adrian,Guzman,,200,
0000-0001-8590-9122,Yasuhiro Itoh,Yasuhiro,Ito,Yasuhiro Itoh,200,
0000-0001-8594-0664,Ga Young Lee,Ga Young,Lee,,200,
0000-0001-8596-296X,shyamtanu chattoraj,shyamtanu,chattoraj,,200,
0000-0001-8599-569X,Arun Prabhu Rameshbabu,Arun Prabhu,Rameshbabu,,200,
0000-0001-8600-0367,TUGBA KILIC,TUGBA,KILIC,,200,
0000-0001-8601-5534,Rohit Bakshi,Rohit,Bakshi,Rohit Bakshi,200,
0000-0001-8602-2363,Luis Gutierrez-Lopez,Luis,Gutierrez-Lopez,,200,
0000-0001-8602-3091,David Scott,David,Scott,,200,
0000-0001-8606-5304,Shailja Vaghela,Shailja,Vaghela,,200,
0000-0001-8607-3515,Naomi Saphra,Naomi,Saphra,,200,
0000-0001-8608-6949,Jingjing Gao,Jingjing,Gao,,200,
0000-0001-8609-0438,NURHAIZATUL JAMIL,NURHAIZATUL,JAMIL,,200,
0000-0001-8609-843X,Pragya Sur,Pragya,Sur,,200,
0000-0001-8611-7207,Arielle Delphine Tripp,Arielle Delphine,Tripp,,200,
0000-0001-8612-727X,Paweł Wityk,Paweł,Wityk,,200,
0000-0001-8613-5966,Douglas Bafford,Douglas,Bafford,,200,
0000-0001-8613-8526,Michael Melfi,Michael,Melfi,,200,
0000-0001-8614-2736,Zhi-Jian Liu,Zhi-Jian,Liu,,200,
0000-0001-8619-3349,Elizabeth Lawson,Elizabeth,Lawson,,200,
0000-0001-8621-1674,Anne K Engmann,Anne K,Engmann,,200,
0000-0001-8623-9167,Ada  Peter,Ada ,Peter,,200,
0000-0001-8624-509X,Tatiana  Gomez Gomez,Tatiana ,Gomez Gomez,,200,
0000-0001-8626-2519,Patricia Silveira,Patricia,Silveira,,200,
0000-0001-8627-0965,Timothy Hsieh,Timothy,Hsieh,,200,
0000-0001-8627-2004,JEFFREY HAJIBANDEH,JEFFREY,HAJIBANDEH,,200,
0000-0001-8628-0282,Ruobo Zhou,Ruobo,Zhou,,200,
0000-0001-8628-403X,Robert Doyle,Robert,Doyle,,200,
0000-0001-8630-5021,Michael Honigberg,Michael,Honigberg,,200,
0000-0001-8631-4622,Victor G. Calvillo-Miranda,Victor G.,Calvillo-Miranda,,200,
0000-0001-8632-4636,Pippa Norris,Pippa,Norris,,200,
0000-0001-8633-4682,Won-Seok Lee,Won-Seok,Lee,,200,
0000-0001-8634-3896,Tobyn Branck,Tobyn,Branck,,200,
0000-0001-8634-7512,Lucy H. Young,Lucy,Young,Lucy H. Young,200,
0000-0001-8637-7930,George Bailey,George,Bailey,,200,
0000-0001-8639-0473,Wanda Phipatanakul,Wanda,Phipatanakul,,200,
0000-0001-8639-5493,Jeremy Yang,Jeremy,Yang,,200,
0000-0001-8646-7469,Alexander Meissner,Alexander,Meissner,,200,
0000-0001-8646-8699,Riordan Frost,Riordan,Cappio-Frost,Riordan Frost,200,
0000-0001-8647-8264,Rajesh Kumar,Rajesh,Kumar,,200,
0000-0001-8650-0986,Tania Rinaldi Barkat,Tania,Rinaldi Barkat,,200,
0000-0001-8650-3693,Kinga Smolen,Kinga,Smolen,,200,
0000-0001-8655-1337,Weiming Mi,Weiming,Mi,,200,
0000-0001-8655-831X,Carlos Rivera,Carlos,Rivera,,200,
0000-0001-8655-8715,Marc Loustau,Marc,Loustau,,200,
0000-0001-8656-7275,Christopher Logan,Christopher,Logan,,200,
0000-0001-8657-0554,Andrew Teer,Andrew,Teer,,200,
0000-0001-8657-9620,Carmina Erdei,Carmina,Erdei,,200,
0000-0001-8660-7126,Dan W. Nowakowski,Dan,Nowakowski,Dan W. Nowakowski,200,
0000-0001-8663-6277,Rishi Popat,Rishi,Popat,,200,
0000-0001-8664-3522,David Flatto,David,Flatto,,200,
0000-0001-8665-3376,Charles King III,Charles,King,Charles King III,200,
0000-0001-8666-6951,William Gilpin,William,Gilpin,,200,
0000-0001-8667-4425,Cheng-Chen Tsai,Cheng-Chen,Tsai,,200,
0000-0001-8667-5233,Yuri Maricich,Yuri,Maricich,,200,
0000-0001-8668-9707,Fuensanta Vera-Diaz,Fuensanta,Vera-Diaz,,200,
0000-0001-8670-6212,Nicole Yunger Halpern,Nicole,Yunger Halpern,,200,
0000-0001-8675-7626,William Steinhardt,William,Steinhardt,,200,
0000-0001-8676-9256,Alexandra Núñez,Alexandra,Núñez,,200,
0000-0001-8678-5205,Alex B Wang,Alex,Wang,Alex B Wang,200,
0000-0001-8681-5697,Jonathan Masin-Peters,Jonathan,Masin-Peters,,200,
0000-0001-8681-6526,Md Nafiz Hamid,Md Nafiz,Hamid,,200,
0000-0001-8682-3080,Damien Laouteouet,Damien,Laouteouet,,200,
0000-0001-8683-3473,Chao Liu,Chao,Liu,,200,
0000-0001-8683-7044,Mandeep Mehra,Mandeep,Mehra,,200,
0000-0001-8687-9105,Christina Woo,Christina,Woo,,200,
0000-0001-8689-9624,Andy Yu-Der Wang,Andy,Wang,Andy Yu-Der Wang,200,
0000-0001-8690-8412,Laura Germine,Laura,Germine,Laura Germine,200,
0000-0001-8691-4601,Ibrahim Ibrahim,Ibrahim,Ibrahim,,200,
0000-0001-8691-9373,Clarissa Cooley,Clarissa,Cooley,,200,
0000-0001-8692-7656,Christopher Alba,Christopher,Alba,,200,
0000-0001-8694-7235,Ashrafali Mohamed Ismail,Mohamed Ismail,Ashrafali,Ashrafali Mohamed Ismail,200,
0000-0001-8696-5177,ronald levy,ronald,levy,,200,
0000-0001-8697-089X,"Susan M. Goobie, MD, FRCPC",Susan Marie,Goobie,"Susan M. Goobie, MD, FRCPC",200,
0000-0001-8700-1716,Julien Dugnoille,Julien,Dugnoille,,200,
0000-0001-8700-8715,Tianpeng Zhang,Tianpeng,Zhang,,200,
0000-0001-8706-2615,Jill Walsh,Jill,Walsh,,200,
0000-0001-8708-4507,William Zhang,William,Zhang,,200,
0000-0001-8710-8898,Jayoung Ryu,Jayoung,Ryu,,200,
0000-0001-8711-0699,yanmei guo,yanmei,guo,,200,
0000-0001-8712-6666,"Julieta M. Manrique, PhD",Julieta Marina,Manrique,"Julieta M. Manrique, PhD",200,
0000-0001-8715-5950,Benjamin Sachs,Benjamin,Sachs,,200,
0000-0001-8715-6582,Zhu-Xi Luo,Zhu-Xi,Luo,,200,
0000-0001-8716-3045,Tobias Wille,Tobias,Wille,,200,
0000-0001-8718-0638,Nathan  Zuniga,Nathan ,Zuniga,,200,
0000-0001-8718-636X,Rajindra P Aryal,Rajindra P,Aryal,,200,
0000-0001-8724-5649,Patricia L. Musolino,Patricia L.,Musolino,,200,
0000-0001-8727-8088,Xin Dong,Xin,Dong,,200,
0000-0001-8728-092X,Kael Ragnini,Kael,Ragnini,,200,
0000-0001-8730-6309,Corinna Baksik,Corinna,Baksik,,200,
0000-0001-8731-3576,ANDREW SIMPSON,ANDREW,SIMPSON,,200,
0000-0001-8734-2836,Lindie Clark,Lindie,Clark,,200,
0000-0001-8734-6001,Matan Mayer,Matan,Mayer,,200,
0000-0001-8737-4686,Maya Jackson,Maya,Jackson,,200,
0000-0001-8738-2838,Monty Montano,Monty,Montano,,200,
0000-0001-8741-1344,Jackson Weir,Jackson,Weir,,200,
0000-0001-8741-3411,Amitava Banerjee,Amitava,Banerjee,,200,
0000-0001-8741-4430,Jagpreet Chhatwal,Jagpreet,Chhatwal,,200,
0000-0001-8742-249X,Aamir Suhail,Aamir,Suhail,,200,
0000-0001-8742-5666,Rojesh Shrestha,Rojesh,Shrestha,,200,
0000-0001-8743-348X,Luiz Felipe Rossini,Luiz Felipe,Rossini,Luiz Felipe Rossini,200,
0000-0001-8746-282X,Tyler Lanman,Tyler,Lanman,,200,
0000-0001-8747-1101,Charles Davis,Charles,Davis,,200,
0000-0001-8748-7576,Sara McLaughlin,Sara,McLaughlin,,200,
0000-0001-8749-9374,Maryna L. Meretska,Maryna L.,Meretska,,200,
0000-0001-8752-2888,Shahriar Talebi,Shahriar,Talebi,,200,
0000-0001-8753-9938,Patricia Allen,Patricia,Allen,,200,
0000-0001-8756-5968,Zhenyu Li,Zhenyu,Li,,200,
0000-0001-8760-674X,Alden Landry,Alden,Landry,,200,
0000-0001-8762-7479,Beau Sievers,Beau,Sievers,,200,
0000-0001-8764-3137,Ruth Tweedy,Ruth,Tweedy,,200,
0000-0001-8766-7112,Shrinivas Pundlik,Shrinivas,Pundlik,,200,
0000-0001-8768-7033,Katie Grace Deane,Katie Grace,Deane,,200,
0000-0001-8769-0478,Dmitry Kazakov,Dmitry,Kazakov,,200,
0000-0001-8770-0816,Jin Dai,Jin,Dai,,200,
0000-0001-8770-3048,JI ZENG,JI,ZENG,,200,
0000-0001-8770-3267,Seyed Ali Mousavi Shaegh,Seyed Ali,Mousavi Shaegh,,200,
0000-0001-8772-1721,S Dhuppar,S,Dhuppar,,200,
0000-0001-8772-6813,Shashi Kant,Shashi,Kant,,200,
0000-0001-8777-1817,Wenying Liao,Wenying,Liao,,200,
0000-0001-8779-6782,Georgiana McTigue,Georgiana,McTigue,,200,
0000-0001-8779-9289,Andrew Bartuska,Andrew,Bartuska,,200,
0000-0001-8780-7664,Julio Collado-Vides,Julio,Collado-Vides,,200,
0000-0001-8781-6544,Jonathan Chen,Jonathan,Chen,,200,
0000-0001-8782-2215,Lillian Fornof,Lillian,Fornof,,200,
0000-0001-8789-1384,Amanda Speller,Amanda,Speller,,200,
0000-0001-8789-4673,Gabriela Sofia Lecaro Calle,Gabriela Sofia,Lecaro Calle,,200,
0000-0001-8792-3040,Guilherme Dantas Nogueira,Guilherme,Dantas Nogueira,,200,
0000-0001-8794-604X,Ramadhani Chambuso,Ramadhani,Chambuso,,200,
0000-0001-8796-2250,Brandon Keehn,Brandon,Keehn,,200,
0000-0001-8796-9292,Amy  Zamora,Amy ,Zamora,,200,
0000-0001-8798-3270,Dor Verbin,Dor,Verbin,,200,
0000-0001-8801-1115,"Dr. Seyed Navid Shayegh, MD",Seyed Navid,Shayegh,"Dr. Seyed Navid Shayegh, MD",200,
0000-0001-8803-2485,Martin K. Bakht,Martin,Bakht,Martin K. Bakht,200,
0000-0001-8803-7753,Adam South,Adam,South,,200,
0000-0001-8804-4136,Angèle flora Mendy,Angèle flora,Mendy,,200,
0000-0001-8805-4609,Grace Wyshak,Grace,Wyshak,,200,
0000-0001-8806-4858,Regina N. Bradley,Regina N.,Bradley,,200,
0000-0001-8808-5333,Dennis Kasper,Dennis,Kasper,,200,
0000-0001-8808-607X,Nathan Hollinsaid,Nathan,Hollinsaid,,200,
0000-0001-8810-2471,Raheel Sayeed,Raheel,Sayeed,,200,
0000-0001-8812-9463,nida zahid,nida,zahid,,200,
0000-0001-8813-6516,Laura Davidson,Laura,Davidson,,200,
0000-0001-8816-1463,Taylor Burke,Taylor,Burke,,200,
0000-0001-8818-0568,Alan H. Beggs,Alan,Beggs,Alan H. Beggs,200,
0000-0001-8819-1144,Ryan P. Badman,Ryan,Badman,Ryan P. Badman,200,
0000-0001-8819-2315,Matthew Kelly,Matthew,Kelly,,200,
0000-0001-8823-8037,Kadriye Hargett,Kadriye,Hargett,,200,
0000-0001-8823-9152,Katie Zaman,Katie,Zaman,,200,
0000-0001-8824-0372,Zareena  Fathah,Zareena ,Fathah,,200,
0000-0001-8826-8543,Yulia Gromova,Yulia,Gromova,,200,
0000-0001-8829-1575,NADER ARDALAN,NADER,ARDALAN,,200,
0000-0001-8831-1230,Lillian Butler,Lillian,Butler,,200,
0000-0001-8833-2939,Ayla Gerk Rangel,Ayla,Gerk Rangel,,200,
0000-0001-8834-2360,Dr Isaiah Otis Reid  JD Law Student,Dr Isaiah,Otis Reid  JD Law Student,,200,
0000-0001-8834-5975,Muthu Periasamy,Muthu,Periasamy,,200,
0000-0001-8835-920X,Alice Kehoe,Alice,Kehoe,,200,
0000-0001-8836-0235,Sebastian F. Winter,Sebastian F.,Winter,Sebastian F. Winter,200,
0000-0001-8838-6638,Hatem Zayed,Hatem,Zayed,,200,
0000-0001-8838-7147,Moritz Kraemer,Moritz,Kraemer,,200,
0000-0001-8839-4056,Jiho Choi,Jiho,Choi,,200,
0000-0001-8840-2212,Asaf Lubin,Asaf,Lubin,,200,
0000-0001-8841-1282,Yuri-Grace Ohashi,Yuri-Grace,Ohashi,,200,
0000-0001-8843-3887,Rebecca Y. Martin,Rebecca,Martin,Rebecca Y. Martin,200,
0000-0001-8843-402X,Rafid Quayum,Rafid,Quayum,,200,
0000-0001-8846-9767,Dennis J. Selkoe,Dennis J.,Selkoe,,200,
0000-0001-8848-6399,Michael D. Fox,Michael,Fox,Michael D. Fox,200,
0000-0001-8850-4374,Iqbal Shah,Iqbal,Shah,,200,
0000-0001-8851-0758,Alan N. Francis,Alan N.,Francis,Alan N. Francis,200,
0000-0001-8851-1638,Marco Piccardo,Marco,Piccardo,,200,
0000-0001-8851-6594,Christopher Szabla,Christopher,Szabla,,200,
0000-0001-8853-8574,Celia Emmelhainz,Celia,Emmelhainz,,200,
0000-0001-8856-0149,Simone Ispa-Landa,Simone,Ispa-Landa,,200,
0000-0001-8864-9231,Fredrick High,Fredrick,High,,200,
0000-0001-8865-935X,Meir Stampfer,Meir,Stampfer,,200,
0000-0001-8867-7566,Roberto Stefan Foa,Roberto Stefan,Foa,,200,
0000-0001-8868-1100,Masa Josipovic,Masa,Josipovic,,200,
0000-0001-8868-8919,Laurier Cress,Laurier,Cress,,200,
0000-0001-8868-9735,Fabian Clemens Weigend,Fabian Clemens,Weigend,,200,
0000-0001-8872-7738,Xiang Wu,Xiang,Wu,,200,
0000-0001-8877-0832,Caroline Filice Smith,Caroline,Filice Smith,,200,
0000-0001-8878-1072,Asma  Ahmed,Asma ,Ahmed,,200,
0000-0001-8882-9048,Patrick Forrester,Patrick,Forrester,,200,
0000-0001-8886-4804,Anna B. Stephenson,Anna,Stephenson,Anna B. Stephenson,200,
0000-0001-8888-5613,Daniel E. Morse,Daniel E.,Morse,,200,
0000-0001-8891-2714,Dominika Nowakowska,Dominika,Nowakowska,,200,
0000-0001-8892-1557,Ashley Scott,Ashley,Scott,,200,
0000-0001-8892-8695,Michael  Mansour,Michael ,Mansour,,200,
0000-0001-8898-0987,Jong Shin,Jong,Shin,Jong Shin,200,
0000-0001-8898-8508,QI WANG,QI,WANG,,200,
0000-0001-8899-3825,Siobhan M. Phillips,Siobhan,Phillips,Siobhan M. Phillips,200,
0000-0001-8902-9990,Katherine Rosenfeld,Katherine,Rosenfeld,,200,
0000-0001-8905-722X,Brendan McElroy,Brendan,McElroy,,200,
0000-0001-8906-4219,Cameron K. McBride,Cameron K.,McBride,,200,
0000-0001-8907-1232,"Stephanie L. Black, PhD",Stephanie,Black,"Stephanie L. Black, PhD",200,
0000-0001-8908-7891,Richard J. Reddick,Richard,Reddick,Richard J. Reddick,200,
0000-0001-8910-0670,Federico  Manfredi Firmian,Federico ,Manfredi Firmian,,200,
0000-0001-8910-1841,Caio Silva,Caio,Silva,,200,
0000-0001-8912-2271,Larissa C. Engert,Larissa C.,Engert,,200,
0000-0001-8913-7879,Allon Klein,Allon,Klein,,200,
0000-0001-8913-8767,Carolina Mejia Peña,Carolina,Mejia Peña,,200,
0000-0001-8918-2207,Howard BUNN,Howard,BUNN,,200,
0000-0001-8918-2573,Francisco Javier Estrada Diez,Francisco Javier,Estrada Diez,,200,
0000-0001-8921-3464,Satori Iwamoto,Satori,Iwamoto,,200,
0000-0001-8922-9976,Yuchen Liu,Yuchen,Liu,,200,
0000-0001-8926-8836,Joshua Sanes,Joshua,Sanes,,200,
0000-0001-8928-3307,Eleftheria Papadaki,Eleftheria,Papadaki,,200,
0000-0001-8931-4281,Manuel Medrano,Manuel,Medrano,,200,
0000-0001-8935-8524,Jonathan Marron,Jonathan,Marron,,200,
0000-0001-8937-3740,Lewis Day,Lewis,Day,,200,
0000-0001-8937-7397,Ka Yang,Ka,Yang,,200,
0000-0001-8937-8592,Jennifer Oyler-Yaniv,Jennifer,Oyler-Yaniv,,200,
0000-0001-8941-5349,Natalie Baker,Natalie,Baker,,200,
0000-0001-8944-5521,解瑞,Jerry,Kurjian,解瑞,200,
0000-0001-8944-8386,Randall Tyler Mertens,Randall Tyler,Mertens,,200,
0000-0001-8948-319X,Justin Rolando,Justin,Rolando,,200,
0000-0001-8948-7879,Xiangang Huang,Xiangang,Huang,,200,
0000-0001-8952-0288,Anne Marie Cammisa,Anne Marie,Cammisa,,200,
0000-0001-8956-781X,Yu Jiang,Yu,Jiang,,200,
0000-0001-8957-5473,Michael L. McManus,Michael,McManus,Michael L. McManus,200,
0000-0001-8960-3702,Yaniris Molina-Aponte,Yaniris,Molina Aponte,Yaniris Molina-Aponte,200,
0000-0001-8962-1441,Yousef Alshumrani ,Yousef,Alshumrani ,,200,
0000-0001-8962-3076,Barbara A Reich,Barbara,Reich,Barbara A Reich,200,
0000-0001-8963-5616,Xinru You,Xinru,You,,200,
0000-0001-8964-5187,Juan Castillo,Juan,Castillo,,200,
0000-0001-8968-3474,Tabitha Lumour-Mensah,Tabitha,Lumour-Mensah,Tabitha Lumour-Mensah,200,
0000-0001-8970-540X,Jakob T Sieker,Jakob,Sieker,Jakob T Sieker,200,
0000-0001-8971-148X,Srinjoy Saha,Srinjoy,Saha,Srinjoy Saha,200,
0000-0001-8972-9460,Emmy Dove,Emmy,Dove,,200,
0000-0001-8974-9330,Jada Gibbs,Jada,Gibbs,,200,
0000-0001-8975-0382,Alvaro Pascual-Leone,Alvaro,Pascual-Leone,,200,
0000-0001-8977-7411,Dominie Miyasato,Dominie,Miyasato,,200,
0000-0001-8977-9206,Kathleen Tarr,Kathleen,Tarr,,200,
0000-0001-8979-844X,Zongmin Zhao,Zongmin,Zhao,,200,
0000-0001-8986-1103,Simon Evered,Simon,Evered,,200,
0000-0001-8987-6436,Matthew Mah,Matthew,Mah,,200,
0000-0001-8991-1174,Nathan Praschan,Nathan,Praschan,,200,
0000-0001-8993-4413,Stephanie N. DeCross,Stephanie,DeCross,Stephanie N. DeCross,200,
0000-0001-8994-5251,William C. Clark,William,Clark,William C. Clark,200,
0000-0001-8994-7046,Robert Husson,Robert,Husson,,200,
0000-0001-8998-5050,Hiroyuki Yoshida,Hiroyuki,Yoshida,,200,
0000-0001-8999-8062,Jaclyn Matthes,Jaclyn,Matthes,,200,
0000-0001-9000-2998,Stanley Rapoport,Stanley,Rapoport,,200,
0000-0001-9003-3882,Hong Qu,Hong,Qu,,200,
0000-0001-9005-4843,Zeynep Celik Alexander,Zeynep,Celik Alexander,,200,
0000-0001-9006-1859,Jose Castillo,Jose,Castillo,,200,
0000-0001-9007-7295,Daniel Zlotoff,Daniel,Zlotoff,,200,
0000-0001-9011-7066,Lotem Bassan-Nygate,Lotem,Bassan-Nygate,,200,
0000-0001-9013-0105,Scott Lovitch,Scott,Lovitch,,200,
0000-0001-9014-1234,Brianna N. Diaz-Pacheco,Brianna,Diaz-Pacheco,Brianna N. Diaz-Pacheco,200,
0000-0001-9016-1104,Yizhi Jiang,Yizhi,Jiang,,200,
0000-0001-9018-6731,Michael Jerosch-Herold,Michael,Jerosch-Herold,,200,
0000-0001-9022-411X,Aman Patel,Aman,Patel,,200,
0000-0001-9022-8313,Jennifer B. Ford,Jennifer,Ford,Jennifer B. Ford,200,
0000-0001-9026-9342,Galen Missig,Galen,Missig,,200,
0000-0001-9027-3819,William Y. Degbey,William Y.,Degbey,,200,
0000-0001-9035-1629,Erik Nelson,Erik,Nelson,,200,
0000-0001-9035-3843,Konstantinos Karathanasis,Konstantinos,Karathanasis,,200,
0000-0001-9035-6737,William Maloney,William,Maloney,,200,
0000-0001-9037-5989,DR.Antonette Asumptha J,DR.Antonette,Asumptha J,,200,
0000-0001-9039-1022,Di Sun,Di,Sun,Di Sun,200,
0000-0001-9039-5808,Nancy  Sullivan,Nancy ,Sullivan,,200,
0000-0001-9041-7341,Willis Li,Willis,Li,,200,
0000-0001-9043-8169,Zhixing Ma,Zhixing,Ma,,200,
0000-0001-9044-2651,Ziwei Gu,Ziwei,Gu,,200,
0000-0001-9044-8113,Rachel Landsman,Rachel,Landsman,,200,
0000-0001-9045-293X,Joshua Lupkin,Joshua,Lupkin,,200,
0000-0001-9048-3453,Alberto Hazan,Alberto,Hazan,,200,
0000-0001-9051-6091,Xinyi Feng,Xinyi,Feng,,200,
0000-0001-9051-8388,Qixin Wang,Qixin,Wang,,200,
0000-0001-9053-6252,Mukul Narwani,Mukul,Narwani,,200,
0000-0001-9053-6279,Qiuyun Fan,Qiuyun,Fan,,200,
0000-0001-9054-0075,Anthony Bonner,Anthony,Bonner,,200,
0000-0001-9056-3365,Sarah E. Motta,Sarah E.,Motta,,200,
0000-0001-9061-3019,Stephanie Olinger,Stephanie,Olinger,,200,
0000-0001-9062-3399,"Saud H AlDubayan, MD",Saud H,"AlDubayan, MD",,200,
0000-0001-9065-4785,Jiashun Huang,Jiashun,Huang,,200,
0000-0001-9065-7644,Marissa Gredler,Marissa,Gredler,,200,
0000-0001-9067-0910,Heng Du,Heng,Du,,200,
0000-0001-9071-2279,Giulia Semeghini,Giulia,Semeghini,,200,
0000-0001-9073-6318,Judith Kraiczy,Judith,Kraiczy,,200,
0000-0001-9078-8978,"Soham Ghoshal, MD, MBA",Soham,Ghoshal,"Soham Ghoshal, MD, MBA",200,
0000-0001-9081-5702,Niloy Biswas,Niloy,Biswas,,200,
0000-0001-9082-4510,Maobin XIE,Maobin,XIE,,200,
0000-0001-9085-8542,Gabrielle Lim,Gabrielle,Lim,,200,
0000-0001-9087-7321,Charles M Brooks,Charles,Brooks,Charles M Brooks,200,
0000-0001-9093-4322,Kelsey Holt,Kelsey,Holt,,200,
0000-0001-9094-343X,Kumar Sarthak,Kumar,Sarthak,,200,
0000-0001-9094-9663,Naoki Yanagisawa,Naoki,Yanagisawa,,200,
0000-0001-9094-9882,Xiwen Jia,Xiwen,Jia,,200,
0000-0001-9096-5858,Bogdan Bintu,Bogdan,Bintu,,200,
0000-0001-9097-3831,Takeshi Okada,Takeshi,Okada,,200,
0000-0001-9100-4952,Vencel Juhasz,Vencel,Juhász,Vencel Juhasz,200,
0000-0001-9105-1636,Andrew Landau,Andrew,Landau,,200,
0000-0001-9106-7080,Joanna Yang,Joanna,Yang,,200,
0000-0001-9111-6911,Aurelio Mollo,Aurelio,Mollo,,200,
0000-0001-9113-778X,Qiao Jiao,Qiao,Jiao,,200,
0000-0001-9115-3210,Tatiana Roldán Ovalle,Tatiana,Roldán Ovalle,,200,
0000-0001-9116-1464,Michael John McDowell,Michael John,McDowell,,200,
0000-0001-9117-4628,Junsung Kim,Junsung,Kim,,200,
0000-0001-9117-5508,"J.K. Hartsfield, Jr.",James,Hartsfield,"J.K. Hartsfield, Jr.",200,
0000-0001-9118-501X,Kimberly Han,Kimberly,Han,,200,
0000-0001-9120-3580,Sumreen Javed,Sumreen,Javed,,200,
0000-0001-9121-6250,Indraneel Mukhopadhyay,Indraneel,Mukhopadhyay,,200,
0000-0001-9125-074X,Stephen Sachs,Stephen,Sachs,,200,
0000-0001-9125-5436,Carol Atack,Carol,Atack,,200,
0000-0001-9128-1263,Debbie Sorensen,Debbie,Sorensen,,200,
0000-0001-9129-6510,Anne Becker,Anne,Becker,,200,
0000-0001-9130-1586,H. Annie Vu,Hanh Annie,Vu,H. Annie Vu,200,
0000-0001-9133-7685,Matthew Bodie,Matthew,Bodie,,200,
0000-0001-9133-8987,Hawa Dembele,Hawa,Dembele,,200,
0000-0001-9134-1246,Erik Carlson,Erik,Carlson,,200,
0000-0001-9134-9483,Inas Abuali,Inas,Abuali,,200,
0000-0001-9135-7264,Maria Salvador,María,Salvador,Maria Salvador,200,
0000-0001-9137-2595,Yongrui Luo,Yongrui,Luo,,200,
0000-0001-9140-3574,Raphaelle Haywood,Raphaelle,Haywood,,200,
0000-0001-9141-2673,"Kenji Saito MD, JD, FACOEM",Kenji,Saito,"Kenji Saito MD, JD, FACOEM",200,
0000-0001-9141-8282,Eren Ada,Eren,Ada,,200,
0000-0001-9142-7269,Mary Burkhauser,Mary,Burkhauser,,200,
0000-0001-9143-2199,Aoxing Cheng,Aoxing,Cheng,,200,
0000-0001-9143-7248,Kevin Shapiro,Kevin,Shapiro,,200,
0000-0001-9151-0767,Lu Gong,Lu,Gong,,200,
0000-0001-9154-2697,Mehmet Doğan Așık,Mehmet Doğan,Așık,,200,
0000-0001-9156-5653,Corbin Ester,Corbin,Ester,,200,
0000-0001-9157-3012,Arlene Katz,Arlene,Katz,,200,
0000-0001-9158-3341,Mark Hill,Mark,Hill,,200,
0000-0001-9158-9276,Sydney Vach,Sydney,Vach,Sydney Vach,200,
0000-0001-9159-6484,Minhong (Neenah) Huang,Minhong (Neenah),Huang,,200,
0000-0001-9166-0503,Leland Dobbs,Leland,Dobbs,,200,
0000-0001-9168-7255,Ana Laura Boeno Malmaceda,Ana Laura,Boeno Malmaceda,,200,
0000-0001-9169-4180,Delaney Snowden,Delaney,Snowden,,200,
0000-0001-9170-6372,Carolyn M. Warner,Carolyn,Warner,Carolyn M. Warner,200,
0000-0001-9170-9071,Suhui Zhao,Suhui,Zhao,,200,
0000-0001-9172-6672,Ioannis Lempesis,Ioannis,Lempesis,,200,
0000-0001-9175-1990,Nathaniel B. Vilas,Nathaniel,Vilas,Nathaniel B. Vilas,200,
0000-0001-9176-4695,Sharmila Dey,Sharmila,Dey,,200,
